Calories,Calories_Fat,Total_Fat,Sodium,Potassium,Total_Carbo,Category
20,0,0,0,230,4,Vegetable
25,0,0,40,220,6,Vegetable
45,0,0.5,80,460,8,Vegetable
30,0,0,60,250,7,Vegetable
25,0,0,30,270,5,Vegetable
15,0,0,115,260,4,Vegetable
10,0,0,0,140,2,Vegetable
20,0,0,0,200,5,Vegetable
25,0,0,20,190,5,Vegetable
10,0,0,10,70,2,Vegetable
10,0,0,10,125,2,Vegetable
15,0,0,35,170,2,Vegetable
20,0,0,15,300,3,Vegetable
45,0,0,5,190,11,Vegetable
110,0,0,0,620,26,Vegetable
10,0,0,55,190,3,Vegetable
20,0,0,0,260,4,Vegetable
90,20,2.5,0,250,18,Vegetable
100,0,0,70,440,23,Vegetable
25,0,0,20,340,5,Vegetable
130,0,0,0,260,34,Vegetable
50,35,4.5,0,140,3,Fruit
110,0,0,0,450,30,Fruit
50,0,0,20,240,12,Fruit
60,0,0,0,160,15,Fruit
90,0,0,15,240,23,Fruit
50,0,0,30,210,12,Fruit
90,10,1,0,450,20,Fruit
15,0,0,0,75,5,Fruit
20,0,0,0,75,7,Fruit
60,5,0.5,0,250,15,Fruit
80,0,0,0,250,19,Fruit
60,0,0.5,0,230,15,Fruit
100,0,0,0,190,26,Fruit
50,0,0,10,120,13,Fruit
70,0,0,0,230,19,Fruit
50,0,0,0,170,11,Fruit
100,0,0,0,350,26,Fruit
50,0,0,0,160,13,Fruit
80,0,0,0,270,21,Fruit
100,10,1,330,300,0,Fruit
130,60,6,40,230,0,Seafood
110,15,1.5,95,470,6,Seafood
90,5,1,65,460,0,Seafood
100,15,1.5,100,390,0,Seafood
100,10,1,85,340,0,Seafood
120,15,2,60,500,0,Seafood
80,0,0.5,320,300,1,Seafood
110,20,2,95,290,0,Seafood
80,5,1,70,340,0,Seafood
100,35,4,300,220,6,Seafood
90,10,1,110,370,0,Seafood
140,50,6,35,370,0,Seafood
110,15,2,70,440,0,Seafood
200,90,10,55,430,0,Seafood
130,40,4,65,420,0,Seafood
140,10,1,310,430,5,Seafood
100,10,1.5,240,220,0,Seafood
120,50,6,100,310,0,Seafood
110,20,2.5,30,360,0,Seafood
130,15,1.5,40,480,0,Seafood
